user_id,item_id,cat_id,seller_id,brand_id,time_stamp,action_type,age_range,gender
45,952610,737,567,4694,717,0,3,2
45,851811,737,567,4694,717,0,3,2
45,952610,737,567,4694,719,0,3,2
45,952610,737,567,4694,719,0,3,2
45,899607,737,567,4694,719,0,3,2
45,426880,1252,886,6141,806,0,3,2
45,415042,1371,78,4073,824,0,3,2
45,838894,933,1523,7546,916,0,3,2
45,924189,420,1523,7546,916,0,3,2
45,924189,420,1523,7546,916,0,3,2
45,339609,883,2371,2363,916,0,3,2
45,574783,1118,2371,6065,916,0,3,2
45,445934,707,2371,2569,916,0,3,2
45,993818,1189,2566,821,1110,0,3,2
45,654671,1174,3226,5228,1111,0,3,2
45,993818,1189,2566,821,1111,0,3,2
45,993818,1189,2566,821,1111,0,3,2
45,993818,1189,2566,821,1111,2,3,2
45,654671,1174,3226,5228,1111,0,3,2
45,639992,351,3226,5228,1111,0,3,2
181,806876,301,1824,2925,601,0,2,1
181,397070,1021,1525,3424,601,0,2,1
181,806876,301,1824,2925,601,0,2,1
181,203664,301,4871,809,601,0,2,1
181,939193,737,4658,4787,610,2,2,1
181,939193,737,4658,4787,610,0,2,1
181,939193,737,4658,4787,610,0,2,1
181,333869,737,4658,4787,610,2,2,1
181,333869,737,4658,4787,623,0,2,1
181,333869,737,4658,4787,623,0,2,1
181,939193,737,4658,4787,623,0,2,1
181,939193,737,4658,4787,623,0,2,1
181,333869,737,4658,4787,623,0,2,1
181,939193,737,4658,4787,623,0,2,1
181,333869,737,4658,4787,623,0,2,1
181,831017,737,3484,8255,1111,2,2,1
181,1023908,451,4412,7007,1111,2,2,1
1310,365902,1075,4760,247,615,0,3,0
1310,1087742,295,44,7725,703,0,3,0
1310,612824,295,44,7725,703,0,3,0
1310,194306,295,44,7725,703,0,3,0
1310,97045,1505,643,968,717,0,3,0
1310,672605,69,2689,640,717,0,3,0
1310,488064,451,154,1289,717,0,3,0
1310,2680,451,3502,7982,718,0,3,0
1310,16505,610,4792,6515,831,0,3,0
1310,887153,1109,1805,6939,1022,0,3,0
1310,741099,278,2341,5988,1111,0,3,0
1310,633751,278,474,5988,1111,0,3,0
1310,633751,278,474,5988,1111,0,3,0
1310,741099,278,2341,5988,1111,2,3,0
1310,741099,278,2341,5988,1111,0,3,0
2137,295438,184,3489,6133,516,3,2,0
2137,27311,812,2790,3865,521,3,2,0
2137,257912,351,1948,3384,521,0,2,0
2137,951687,35,2790,3865,521,0,2,0
2137,27311,812,2790,3865,521,0,2,0
2137,27311,812,2790,3865,521,0,2,0
2137,194321,184,3489,6133,601,0,2,0
2137,103725,184,3489,6133,602,0,2,0
2137,854848,1500,2084,5036,603,0,2,0
2137,435212,184,3185,1521,717,0,2,0
2137,1022583,883,2031,2446,1111,0,2,0
2137,221663,883,2031,2446,1111,3,2,0
2137,1103540,184,3489,6133,1111,0,2,0
2137,221663,883,2031,2446,1111,0,2,0
2137,221663,883,2031,2446,1111,2,2,0
2137,221663,883,2031,2446,1111,0,2,0
2325,827237,420,3813,2327,712,0,3,1
2325,970838,1290,2752,2503,915,2,3,1
2325,1078471,1074,1507,6623,926,0,3,1
2325,630177,1023,1595,5800,1006,0,3,1
2325,630177,1023,1595,5800,1006,0,3,1
2325,188280,1023,1595,5800,1016,0,3,1
2325,559647,242,1356,8396,1111,2,3,1
2325,222868,1205,3619,4777,1111,0,3,1
2325,774075,1205,327,1954,1111,0,3,1
2325,222868,1205,3619,4777,1111,0,3,1
2325,774075,1205,327,1954,1111,0,3,1
2325,559647,242,1356,8396,1111,0,3,1
2325,774075,1205,327,1954,1111,0,3,1
2325,994854,242,2318,7319,1111,0,3,1
2566,730073,1349,802,6065,1106,0,3,1
2566,730073,1349,802,6065,1106,0,3,1
