user_id,item_id,cat_id,seller_id,brand_id,time_stamp,action_type,age_range,gender
45,952610,737,567,4694.0,717,0,3.0,2.0
45,851811,737,567,4694.0,717,0,3.0,2.0
45,952610,737,567,4694.0,719,0,3.0,2.0
45,952610,737,567,4694.0,719,0,3.0,2.0
45,899607,737,567,4694.0,719,0,3.0,2.0
45,426880,1252,886,6141.0,806,0,3.0,2.0
45,415042,1371,78,4073.0,824,0,3.0,2.0
45,838894,933,1523,7546.0,916,0,3.0,2.0
45,924189,420,1523,7546.0,916,0,3.0,2.0
45,924189,420,1523,7546.0,916,0,3.0,2.0
45,339609,883,2371,2363.0,916,0,3.0,2.0
45,574783,1118,2371,6065.0,916,0,3.0,2.0
45,445934,707,2371,2569.0,916,0,3.0,2.0
181,806876,301,1824,2925.0,601,0,2.0,1.0
181,397070,1021,1525,3424.0,601,0,2.0,1.0
181,806876,301,1824,2925.0,601,0,2.0,1.0
181,203664,301,4871,809.0,601,0,2.0,1.0
181,939193,737,4658,4787.0,610,2,2.0,1.0
181,939193,737,4658,4787.0,610,0,2.0,1.0
181,939193,737,4658,4787.0,610,0,2.0,1.0
181,333869,737,4658,4787.0,610,2,2.0,1.0
181,333869,737,4658,4787.0,623,0,2.0,1.0
181,333869,737,4658,4787.0,623,0,2.0,1.0
181,939193,737,4658,4787.0,623,0,2.0,1.0
1310,365902,1075,4760,247.0,615,0,3.0,0.0
1310,1087742,295,44,7725.0,703,0,3.0,0.0
1310,612824,295,44,7725.0,703,0,3.0,0.0
1310,194306,295,44,7725.0,703,0,3.0,0.0
1310,97045,1505,643,968.0,717,0,3.0,0.0
1310,672605,69,2689,640.0,717,0,3.0,0.0
1310,488064,451,154,1289.0,717,0,3.0,0.0
1310,2680,451,3502,7982.0,718,0,3.0,0.0
1310,16505,610,4792,6515.0,831,0,3.0,0.0
1310,887153,1109,1805,6939.0,1022,0,3.0,0.0
2137,295438,184,3489,6133.0,516,3,2.0,0.0
2137,27311,812,2790,3865.0,521,3,2.0,0.0
2137,257912,351,1948,3384.0,521,0,2.0,0.0
2137,951687,35,2790,3865.0,521,0,2.0,0.0
2137,27311,812,2790,3865.0,521,0,2.0,0.0
2137,27311,812,2790,3865.0,521,0,2.0,0.0
2137,194321,184,3489,6133.0,601,0,2.0,0.0
2137,103725,184,3489,6133.0,602,0,2.0,0.0
2137,854848,1500,2084,5036.0,603,0,2.0,0.0
2137,435212,184,3185,1521.0,717,0,2.0,0.0
2325,827237,420,3813,2327.0,712,0,3.0,1.0
2325,970838,1290,2752,2503.0,915,2,3.0,1.0
2325,1078471,1074,1507,6623.0,926,0,3.0,1.0
2325,630177,1023,1595,5800.0,1006,0,3.0,1.0
2325,630177,1023,1595,5800.0,1006,0,3.0,1.0
2325,188280,1023,1595,5800.0,1016,0,3.0,1.0
2325,559647,242,1356,8396.0,1111,2,3.0,1.0
2325,222868,1205,3619,4777.0,1111,0,3.0,1.0
2325,774075,1205,327,1954.0,1111,0,3.0,1.0
2566,730073,1349,802,6065.0,1106,0,3.0,1.0
2566,730073,1349,802,6065.0,1106,0,3.0,1.0
2566,407183,1181,948,2987.0,1107,0,3.0,1.0
2566,1058953,1329,2332,5243.0,1107,3,3.0,1.0
2566,376719,1188,2085,2169.0,1107,0,3.0,1.0
2566,1097522,1181,375,1164.0,1107,0,3.0,1.0
2566,1058953,1329,2332,5243.0,1107,0,3.0,1.0
2566,353131,351,3628,7971.0,1109,0,3.0,1.0
2566,915591,351,3628,7971.0,1109,0,3.0,1.0
2566,1064621,555,4919,3193.0,1109,0,3.0,1.0
3068,500941,331,1744,8229.0,904,0,4.0,0.0
3068,500941,331,1744,8229.0,906,0,4.0,0.0
3068,817337,1517,1744,8229.0,906,0,4.0,0.0
3068,124979,192,1744,8229.0,906,0,4.0,0.0
3068,702847,43,4995,382.0,906,0,4.0,0.0
3068,500941,331,1744,8229.0,906,0,4.0,0.0
3068,124979,192,1744,8229.0,906,0,4.0,0.0
3068,78308,649,1744,8229.0,906,0,4.0,0.0
3068,500941,331,1744,8229.0,909,0,4.0,0.0
3068,439462,1395,3766,1097.0,922,0,4.0,0.0
3068,646489,649,3741,4359.0,1008,0,4.0,0.0
