user_id,item_id,rating
0,0,3
0,1,3
0,2,2
0,3,1
0,4,4
0,5,4
0,6,2
0,7,4
0,8,2
0,9,1
0,10,3
0,11,4
0,12,4
0,13,1
0,14,1
0,15,4
0,16,1
0,17,3
0,18,2
0,19,5
0,20,1
0,21,2
0,22,2
0,23,2
0,24,3
0,25,5
0,26,3
0,27,2
0,28,2
0,29,5
0,30,2
0,31,5
0,32,4
0,33,4
0,34,1
0,35,3
0,36,2
0,37,1
0,38,2
0,39,4
0,40,2
0,41,1
0,42,2
0,43,1
0,44,4
0,45,3
0,46,5
0,47,4
0,48,4
0,49,1
0,50,1
0,51,2
0,52,3
0,53,5
0,54,4
0,55,5
0,56,5
0,57,4
0,58,2
0,59,4
0,60,5
0,61,1
0,62,3
0,63,4
0,64,1
0,65,4
0,66,4
0,67,1
0,68,5
0,69,5
0,70,4
0,71,2
0,72,1
0,73,4
0,74,4
0,75,3
0,76,1
0,77,1
0,78,5
0,79,5
0,80,3
0,81,5
0,82,4
0,83,4
0,84,5
0,85,2
0,86,3
0,87,5
0,88,5
0,89,3
0,90,4
0,91,3
0,92,1
0,93,3
0,94,3
0,95,4
0,96,2
0,97,4
0,98,2
0,99,4
0,100,2
0,101,4
0,102,2
0,103,4
0,104,4
0,105,1
0,106,5
0,107,1
0,108,3
0,109,1
0,110,5
0,111,2
0,112,3
0,113,5
0,114,5
0,115,1
0,116,1
0,117,3
0,118,3
0,119,1
1,120,4
1,121,3
1,122,4
1,123,3
1,124,2
1,125,1
1,126,3
1,127,2
1,128,3
1,129,4
1,130,1
1,131,3
1,132,4
1,133,4
1,134,1
1,135,4
1,136,5
1,137,4
1,138,3
1,139,1
1,140,5
1,141,3
1,142,2
1,143,5
1,144,5
1,145,5
1,146,2
1,147,1
1,148,2
1,149,3
1,0,2
1,1,3
1,2,4
1,3,4
1,4,5
1,5,1
1,6,3
1,7,1
1,8,1
1,9,4
1,10,4
1,11,5
1,12,2
1,13,1
1,14,4
1,15,5
1,16,3
1,17,1
1,18,4
1,19,3
1,20,1
1,21,2
1,22,3
1,23,5
1,24,2
1,25,3
1,26,2
1,27,4
1,28,2
1,29,3
1,30,1
1,31,3
1,32,1
1,33,5
1,34,4
1,35,2
1,36,2
1,37,3
1,38,4
1,39,5
1,40,4
1,41,1
1,42,1
1,43,3
1,44,4
1,45,3
1,46,3
1,47,4
1,48,5
1,49,4
1,50,3
1,51,4
1,52,5
1,53,5
1,54,3
1,55,4
1,56,2
1,57,5
1,58,1
1,59,2
1,60,1
1,61,1
1,62,2
1,63,2
1,64,2
1,65,3
1,66,5
1,67,4
1,68,1
1,69,3
1,70,4
1,71,5
1,72,5
1,73,1
1,74,1
1,75,2
1,76,5
1,77,3
1,78,1
1,79,4
1,80,2
1,81,3
1,82,3
1,83,1
1,84,5
1,85,4
1,86,3
1,87,2
1,88,2
1,89,2
2,90,4
2,91,2
2,92,5
2,93,5
2,94,4
2,95,4
2,96,2
2,97,2
2,98,2
2,99,1
2,100,1
2,101,1
2,102,3
2,103,4
2,104,4
2,105,5
2,106,1
2,107,3
2,108,3
2,109,1
2,110,5
2,111,2
2,112,3
2,113,1
2,114,5
2,115,4
2,116,2
2,117,3
2,118,2
2,119,3
2,120,5
2,121,5
2,122,5
2,123,3
2,124,5
2,125,3
2,126,1
2,127,2
2,128,2
2,129,3
2,130,1
2,131,1
2,132,4
2,133,1
2,134,3
2,135,1
2,136,1
2,137,5
2,138,1
2,139,4
2,140,1
2,141,1
2,142,3
2,143,2
2,144,2
2,145,3
2,146,5
2,147,1
2,148,3
2,149,5
2,0,3
2,1,1
2,2,2
2,3,5
2,4,1
2,5,3
2,6,5
2,7,5
2,8,5
2,9,1
2,10,2
2,11,5
2,12,2
2,13,4
2,14,2
2,15,3
2,16,4
2,17,5
2,18,3
2,19,2
2,20,1
2,21,5
2,22,2
2,23,2
2,24,3
2,25,3
2,26,1
2,27,2
2,28,1
2,29,2
2,30,4
2,31,5
2,32,1
2,33,2
2,34,4
2,35,2
2,36,4
2,37,1
2,38,1
2,39,5
2,40,4
2,41,3
2,42,4
